SAMPLE PARAMETERS
Gauge length [mm]: 24.1614
Area [mm2]: 72.7888
EXPERIMENTAL PARAMETERS
Time [s]: 2.5
Number of steps: 1000
Displacement (0) or force control (1): 0
Schedule ID: 0
Omega: 12.5664
Amplitude: 0.5
RESULTS
Time [s],Displacement [mm],Force [N]
0.9325,0.16934406733817378,0.541916357937511
0.935,0.15772644703565544,0.4966608081562812
0.9375,0.14644660940672605,0.4543557163151513
0.9400000000000001,0.1355156862892941,0.4147881105974856
0.9425,0.1249444651847702,0.37776231149389405
0.9450000000000001,0.1147433786121054,0.34310003592940685
0.9475,0.10492249381215493,0.31064030537851717
0.9500000000000001,0.09549150281252587,0.28023916909125407
0.9525,0.08645971286271875,0.2517692554606673
0.9550000000000001,0.07783603724899217,0.22511916587361064
0.9575,0.06962898649802793,0.20019272734091992
0.96,0.06184665997806808,0.17690812081247154
0.9625,0.05449673790581592,0.15519690362158847
0.965,0.04758647376699014,0.13500294523363152
0.9675,0.04112268715800944,0.11628129556883983
0.97,0.03511175705587435,0.09899700641408986
0.9725,0.029559615522886978,0.08312392562095573
0.975,0.024471741852422988,0.06864348443860929
0.9775,0.01985315716152834,0.055543497366043394
0.98,0.015708419435684327,0.043816993868794174
0.9825,0.012041619030626205,0.033461099949486574
0.985,0.008856374635655615,0.02447598697265203
0.9875,0.006155829702431095,0.01686390381613809
0.99,0.003942649342761033,0.010628306828764193
0.9925,0.0022190176984600244,0.005773100565635513
0.995,0.0009866357858642238,0.002473327207319169
0.9975,0.00024671981713423225,0.0005656526792349542
1.,0.,2.1510980998079795e-12
1.0025,0.00024671981713423225,0.0005656526792349542
1.0050000000000001,0.0009866357858643077,0.002473327100035088
1.0075,0.0022190176984600244,0.0057730999250365286
1.01,0.003942649342761117,0.010628304272345497
1.0125,0.006155829702431179,0.0168638969031083
1.0150000000000001,0.008856374635655698,0.024475972652735805
1.0175,0.012041619030626373,0.033461074557119955
1.02,0.01570841943568441,0.043816953109163496
1.0225,0.019853157161528672,0.05554343627998053
1.025,0.024471741852423408,0.0686433973929389
1.0275,0.02955961552288748,0.08312380623786511
1.03,0.035111757055874514,0.09899684750406663
1.0325,0.0411226871580096,0.1162810890328426
1.035,0.04758647376699039,0.13500268194239876
1.0375,0.05449673790581617,0.15519657324891697
1.04,0.06184665997806825,0.17690771164680802
1.0425,0.06962898649802818,0.20019222603902825
1.045,0.0778360372489925,0.2251185571715424
1.0475,0.08645971286271951,0.2517685218224117
1.05,0.0954915028125267,0.28023829031109254
1.0525,0.10492249381215518,0.310639258096533
1.055,0.11474337861210573,0.3430987930772049
1.0575,0.1249444651847705,0.3777608416648286
1.06,0.13551568628929447,0.4147863773044764
1.0625,0.1464466094067264,0.45435367717656405
1.065,0.15772644703565575,0.49665841393261717
1.0675000000000001,0.16934406733817411,0.5419135514820917
1.07,0.18128800512565516,0.5903490355559735
1.0725,0.19354647317351237,0.6422112716197749
1.075,0.206107373853764,0.6977623855456968
1.0775000000000001,0.21895831107393518,0.7572792640201857
1.08,0.23208660251050212,0.8210523739004227
1.0825,0.2454792921248147,0.8893843628481262
1.085,0.2591231629491426,0.9894618382427285
1.0875000000000001,0.2730047501302268,1.097163308938904
1.09,0.2871103542174638,1.2111665804217198
1.0925,0.30142605468260975,1.3319620958997267
1.095,0.315937723657661,1.4600543106773543
1.0975,0.33063103987735504,1.595957670440792
1.1,0.34549150281252694,1.740192285458278
1.1025,0.3605044469803859,1.8932793320380426
1.105,0.3756550564175731,2.055736215505373
1.1075,0.39092837930172913,2.2280715325841562
1.11,0.40630934270713803,2.4107798734056476
1.1125,0.4217827674798848,2.6043365062721144
1.115,0.43733338321784804,2.8091919897631232
1.1175,0.4529458433407429,3.0257667590033916
1.12,0.46860474023534415,3.2544457340575876
1.1225,0.48429462046093663,3.495572999071623
1.125,0.5000000000000007,3.7494466011021825
1.1275,0.5157053795390648,4.0163135183761085
1.1300000000000001,0.5313952597646572,4.296364845656183
1.1325,0.5470541566592575,4.589731245174096
1.135,0.5626666167821525,4.896478708297504
1.1375,0.5782172325201156,5.216604673035563
1.1400000000000001,0.5936906572928625,5.550034538548408
1.1425,0.6090716206982713,5.896618615813147
1.145,0.6243449435824283,6.256129550489429
1.1475,0.6394955530196154,6.6282602498373615
1.1500000000000001,0.6545084971874744,7.012622342246718
1.1525,0.6693689601226462,7.408745193265067
1.155,0.6840622763423395,7.816075497379357
1.1575,0.6985739453173907,8.233977461003395
1.16,0.7128896457825367,8.661733585526958
1.1625,0.7269952498697736,9.098546055847697
1.165,0.7408768370508578,9.543538733753586
1.1675,0.7545207078751858,10.008298024441535
1.17,0.767913397489499,10.52107213122663
1.1725,0.7810416889260661,11.037851445280479
1.175,0.7938926261462372,11.55764969032139
1.1775,0.8064535268264887,12.0793780776268
1.18,0.8187119948743452,12.601852284649267
1.1825,0.8306559326618264,13.123800208636927
1.185,0.8422735529643446,13.643870456266107
1.1875,0.853553390593274,14.160641518034954
1.19,0.864484313710706,14.672631562090578
1.1925000000000001,0.8750555348152299,15.178308771268467
1.195,0.8852566213878953,15.676102137449014
1.1975,0.8950775061878458,16.164412618083418
1.2,0.9045084971874742,16.64162455463536
1.2025000000000001,0.9135402871372812,17.10611724671538
1.205,0.9221639627510079,17.55627657493416
1.2075,0.9303710135019719,17.99050656376013
1.21,0.938153340021932,18.40724077775339
1.2125000000000001,0.9455032620941841,18.80495344758046
1.215,0.9524135262330099,19.182170227150834
1.2175,0.9588773128419906,19.537478489531054
1.22,0.9648882429441261,19.869537076219043
1.2225,0.970440384477113,20.177085423702394
1.225,0.9755282581475772,20.458951999129308
1.2275,0.9801468428384719,20.714061986856386
1.23,0.9842915805643156,20.941444177657793
1.2325,0.9879583809693738,21.140237020986245
1.235,0.9911436253643445,21.309693811505515
1.2375,0.9938441702975689,21.449186988508902
1.24,0.996057350657239,21.56215504131397
1.2425,0.9977809823015401,21.65280520585104
1.245,0.999013364214136,21.707054828687344
1.2475,0.9997532801828659,21.7254477454219
1.25,1.,21.708573024005815
1.2525,0.9997532801828659,21.65707458553331
1.2550000000000001,0.9990133642141359,21.571658295446987
1.2575,0.9977809823015401,21.453097019478815
1.26,0.996057350657239,21.314535181934758
1.2625,0.9938441702975689,21.14737552978308
1.2650000000000001,0.9911436253643444,20.951555240298173
1.2675,0.9879583809693738,20.727893845230906
1.27,0.9842915805643153,20.477308893052125
1.2725,0.9801468428384715,20.20080939343168
1.2750000000000001,0.9755282581475767,19.899488767777598
1.2775,0.970440384477113,19.574517355773708
1.28,0.9648882429441257,19.227134530794146
1.2825,0.9588773128419902,18.858640477863556
1.285,0.9524135262330097,18.4703876895533
1.2875,0.9455032620941834,18.063772237047274
1.29,0.9381533400219318,17.640224873770144
1.2925,0.9303710135019715,17.201202032420635
1.295,0.9221639627510075,16.748176775958136
1.2975,0.9135402871372805,16.282629765129343
1.3,0.904508497187474,15.806040306767342
1.3025,0.8950775061878451,15.319877547735373
1.305,0.885256621387894,14.825591880690817
1.3075,0.8750555348152297,14.32460662859877
1.31,0.864484313710705,13.818310075962613
1.3125,0.8535533905932737,13.308047913572397
1.315,0.8422735529643437,12.795116164515795
1.3175000000000001,0.830655932661826,12.280754657728291
1.32,0.8187119948743444,11.766141113074932
1.3225,0.8064535268264884,11.292153407549813
